id,name,product_url,original_price,sale_price,image_url,source_page
14,"Hand Knotted authentic antique Persian Serapi design size 11ft by 15ft 3"" circa 1900s 100% pure wool pile and cotton foundation",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-persian-serapi-design-size-11ft-by-15ft-3-circa-1900s-100-pure-wool-pile-and-cotton-foundation,"$45,000.00","$24,600.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000032003.jpg,1
15,Decorative hand Knotted transitional design Afghan rug 100% wool pile and cotton foundation size 9ft by 12ft new,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-transitional-design-afghan-rug-100-wool-pile-and-cotton-foundation-size-9ft-by-12ft-new,"$5,900.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031151.jpg,1
16,Decorative hand Knotted 100% wool pile and cotton foundation Afghan Kazak design size 8ft by 10ft,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-100-wool-pile-and-cotton-foundation-afghan-kazak-design-size-8ft-by-10ft,"$4,500.00","$2,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031165.jpg,2
17,Decorative hand Knotted transitional Kazak rug 100% wool pile and cotton foundation size 8ft by 10ft newc,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-transitional-kazak-rug-100-wool-pile-and-cotton-foundation-size-8ft-by-10ft-newc,"$4,500.00","$2,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031161.jpg,2
18,Decorative hand Knotted colorful Afghan Mahal design wool rug size 8ft by 10ft 100% pure wool pile cotton foundation new,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-colorful-afghan-mahal-design-wool-rug-size-8ft-by-10ft-100-pure-wool-pile-cotton-foundation-new,"$4,500.00","$2,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031157.jpg,2
19,Decorative hand Knotted Afghan Mahal design size 9ft by 12ft 100% pure wool pile and cotton foundation new,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-afghan-mahal-design-size-9ft-by-12ft-100-pure-wool-pile-and-cotton-foundation-new,"$5,900.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031155.jpg,2
20,Hand-knotted transitional Kazak design 100% wool pile and cotton foundation size 8ft by 10ft new,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-transitional-kazak-design-100-wool-pile-and-cotton-foundation-size-8ft-by-10ft-new,"$4,500.00","$2,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031147.jpg,2
21,"Antique hand Knotted authentic Caucasian shirvan design size 2ft 10"" by 4ft 9"" circa 1880s 100% pure wool",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-hand-knotted-authentic-caucasian-shirvan-design-size-2ft-10-by-4ft-9-circa-1880s-100-pure-wool,"$2,900.00","$1,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000031906.jpg,2
22,Decorative 100% wool pile beautiful hand knotted trible design rug size 4ft by 6ft circa 1900s (BIG SAVING on this rug),https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-wool-pile-beautiful-hand-knotted-trible-design-rug-size-4ft-by-6ft-circa-1900s-big-saving-on-this-rug,"$3,500.00","$2,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000026947.jpg,2
23,Decorative hand Knotted 100% wool Turkish prayer rug design size 3ft by 5ft circa 1920s (BIG SAVING on this rug),https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-100-wool-turkish-prayer-rug-design-size-3ft-by-5ft-circa-1920s--big-saving-on-this-rug,"$2,900.00","$1,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000026971.jpg,2
24,"Decorative 100% hand Knotted100% wool camel hair trible design size 3ft "" by 15ft circa 1900s (BIG SAVING on this rug)",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-100-hand-knotted100--wool-camel-hair-trible-design-size-3ft--by-15ft-circa-1900s-big-saving-on-this-rug,"$6,500.00","$4,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000026998-4486662.jpg,2
25,Colletble antique hand knotted authentic Coucasian shirvan design 100% pure wool circan 1900 size 3ft by 4ft,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/colletble-antique-hand-knotted-authentic-coucasian-shirvan-design-100-pure-wool-circan-1900-size-3ft-by-4ft,"$2,900.00","$1,750.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000026960.jpg,2
26,(SOLD) Antique hand knotted authentic Persian Sultanabad size 9ft by 14ft ( cut rug vintage need work) circa 1880s,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-hand-knotted-authentic-persian-sultanabad,"$12,500.00","$7,750.00","https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000030572.jpg/:/rs=w:600,h:600",2
27,"Hand Knotted authentic antique Persian Heriz Serapies size 11ft 8"" by 14ft 6"" circa 1880s 100% pure wool pile and cotton foundation",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-persian-heriz-serapies-size-11ft-8-by-14ft-6-circa-1880s-100-pure-wool-pile-and-cotton-foundation,"$69,000.00","$45,000.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000024770.jpg,2
